type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.688220,2023-02-08,1660,60.23,59.44,24.67
buy,sh.600516,2023-02-10,15309,6.55,6.53,24.99
buy,sh.600699,2023-02-10,6325,15.86,15.72,24.86
buy,sh.600927,2023-02-10,5846,17.16,17.12,25.02
buy,sh.601866,2023-02-13,42237,2.37,2.36,24.92
buy,sh.601608,2023-02-14,26623,3.77,3.75,24.96
sell,sh.600516,2023-02-15,15309,,6.56,125.53
sell,sh.600699,2023-02-15,6325,,15.71,124.21
sell,sh.600927,2023-02-15,5846,,17.26,126.13
sell,sh.601608,2023-02-15,26623,,3.74,124.46
sell,sh.601866,2023-02-15,42237,,2.36,124.6
sell,sh.688220,2023-02-15,1660,,66.86,138.73
buy,sh.688213,2023-02-21,2109,47.99,47.93,25.27
buy,sh.601866,2023-02-22,42582,2.37,2.37,25.23
sell,sh.601866,2023-02-23,42582,,2.36,125.62
sell,sh.688213,2023-02-23,2109,,46.83,123.46
buy,sz.000027,2023-02-23,17273,5.85,5.83,25.18
buy,sz.000728,2023-02-24,15252,6.62,6.58,25.09
sell,sz.000027,2023-02-27,17273,,5.79,125.01
buy,sh.601717,2023-02-27,8418,11.98,11.87,24.98
sell,sh.601717,2023-02-28,8418,,11.81,124.27
buy,sh.688385,2023-02-28,1396,72.08,71.28,24.88
sell,sz.000728,2023-03-01,15252,,6.56,125.07
buy,sh.603728,2023-03-01,2134,47.19,46.26,24.68
buy,sh.688002,2023-03-01,2199,45.8,45.47,25.0
sell,sh.688385,2023-03-02,1396,,71.09,124.05
buy,sh.603129,2023-03-02,705,142.88,140.47,24.76
sell,sh.688002,2023-03-06,2199,,43.9,120.67
buy,sh.688525,2023-03-06,3694,26.96,26.4,24.38
buy,sh.689009,2023-03-06,2977,33.46,33.26,24.75
sell,sh.603728,2023-03-07,2134,,43.29,115.48
buy,sh.688301,2023-03-07,627,157.99,156.03,24.46
buy,sz.002056,2023-03-07,5055,19.62,19.59,24.76
sell,sz.002056,2023-03-09,5055,,19.17,121.13
buy,sh.688387,2023-03-09,14436,6.94,6.84,24.69
sell,sh.688387,2023-03-10,14436,,6.88,124.15
sell,sh.688525,2023-03-10,3694,,32.92,152.01
sell,sh.689009,2023-03-10,2977,,31.74,118.11
sell,sh.603129,2023-03-13,705,,126.9,111.83
sell,sh.688301,2023-03-13,627,,149.16,116.9
buy,sz.301308,2023-03-13,1486,67.4,66.11,24.56
