date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2024-01-02,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-04,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-05,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-08,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-09,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-10,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-11,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-12,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-15,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-16,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-17,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-18,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-19,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-22,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-23,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-24,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-25,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-26,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-29,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-30,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-31,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-02-01,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-02-02,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-02-05,900667.01,1002356.72,0.0,1002356.72,2356.72,0.0,24.83
2024-02-06,900667.01,1006028.85,0.0,1006028.85,6028.85,0.0,24.83
2024-02-07,900667.01,1008006.15,0.0,1008006.15,8006.15,0.0,24.83
2024-02-08,699497.13,1003953.87,0.0,1003953.87,3953.87,0.0,75.11
2024-02-19,500654.45,1002088.81,0.0,1002088.81,2088.81,0.0,124.81
2024-02-20,104214.05,1013260.6,0.0,1013260.6,13260.6,0.0,223.89
2024-02-21,104214.05,1006717.98,0.0,1006717.98,6717.98,0.0,223.89
2024-02-22,104214.05,1018827.32,0.0,1018827.32,18827.32,0.0,223.89
2024-02-23,104214.05,1026692.89,0.0,1026692.89,26692.89,0.0,223.89
2024-02-26,104214.05,1030178.62,0.0,1030178.62,30178.62,0.0,223.89
2024-02-27,104214.05,1049759.52,0.0,1049759.52,49759.52,0.0,223.89
2024-02-28,104214.05,1019031.46,0.0,1019031.46,19031.46,0.0,223.89
2024-02-29,104214.05,1046032.36,0.0,1046032.36,46032.36,0.0,223.89
2024-03-01,-23.44,1066979.28,0.0,1066979.28,66979.28,0.0,249.94
2024-03-04,-23.44,1086438.7,0.0,1086438.7,86438.7,0.0,249.94
2024-03-05,-23.44,1076559.85,0.0,1076559.85,76559.85,0.0,249.94
2024-03-06,-23.44,1081767.48,0.0,1081767.48,81767.48,0.0,249.94
