date,symbol
2021-11-29,sh.601699
2021-11-29,sz.000932
2021-11-29,sh.600157
2021-11-29,sh.600339
2021-11-29,sh.600170
2021-11-29,sh.600606
2021-11-29,sz.000623
2021-11-29,sh.600820
2021-11-29,sh.600985
2021-11-29,sh.601000
2021-11-29,sz.000709
2021-11-29,sh.600808
2021-11-29,sz.000959
2021-11-29,sh.601997
2021-11-29,sz.000825
2021-11-29,sh.601019
2021-11-29,sz.002966
2021-11-29,sh.600177
2021-11-29,sz.002958
2021-11-29,sz.002244
2021-11-29,sh.600707
2021-11-29,sz.000898
2021-11-29,sh.600208
2021-11-29,sh.600390
2021-11-29,sh.600720
2021-11-29,sh.601577
2021-11-29,sh.600153
2021-11-29,sh.600126
2021-11-29,sh.600282
2021-11-29,sh.600528
2021-11-30,sh.601699
2021-11-30,sz.000932
2021-11-30,sh.600157
2021-11-30,sh.600339
2021-11-30,sh.600170
2021-11-30,sh.600606
2021-11-30,sz.000623
2021-11-30,sh.600820
2021-11-30,sh.600985
2021-11-30,sh.601000
2021-11-30,sz.000709
2021-11-30,sh.600808
2021-11-30,sz.000959
2021-11-30,sh.601997
2021-11-30,sz.000825
2021-11-30,sh.601019
2021-11-30,sz.002966
2021-11-30,sh.600177
2021-11-30,sz.002958
2021-11-30,sz.002244
2021-11-30,sh.600707
2021-11-30,sz.000898
2021-11-30,sh.600208
2021-11-30,sh.600390
2021-11-30,sh.600720
2021-11-30,sh.601577
2021-11-30,sh.600153
2021-11-30,sh.600126
2021-11-30,sh.600282
2021-11-30,sh.600528
2021-12-01,sh.601699
2021-12-01,sz.000932
2021-12-01,sh.600157
2021-12-01,sh.600339
2021-12-01,sh.600170
2021-12-01,sh.600606
2021-12-01,sz.000623
2021-12-01,sh.600820
2021-12-01,sh.600985
2021-12-01,sh.601000
2021-12-01,sz.000709
2021-12-01,sh.600808
2021-12-01,sz.000959
2021-12-01,sh.601997
2021-12-01,sz.000825
2021-12-01,sh.601019
2021-12-01,sz.002966
2021-12-01,sh.600177
2021-12-01,sz.002958
2021-12-01,sz.002244
2021-12-01,sh.600707
2021-12-01,sz.000898
2021-12-01,sh.600208
2021-12-01,sh.600390
